"","V1","V2"
"280",96665,-30075
"281",96675,-30075
"282",96685,-30075
"283",96695,-30075
"284",96705,-30075
"285",96715,-30075
"286",96725,-30075
"287",96735,-30075
"288",96745,-30075
"289",96755,-30075
"290",96765,-30075
"291",96775,-30075
"292",96785,-30075
"293",96795,-30075
"294",96805,-30075
"295",96815,-30075
"296",96825,-30075
"297",96835,-30075
"298",96845,-30075
"299",96855,-30075
"300",96865,-30075
"301",96875,-30075
"302",96885,-30075
"303",96895,-30075
"304",96905,-30075
"305",96915,-30075
"306",96925,-30075
"307",96935,-30075
"308",96945,-30075
"309",96955,-30075
"310",96965,-30075
"311",96975,-30075
"312",96985,-30075
"313",96995,-30075
"314",97005,-30075
"315",97015,-30075
"316",97025,-30075
"317",97035,-30075
"318",97045,-30075
"319",97055,-30075
"320",97065,-30075
"321",97075,-30075
"322",97085,-30075
"323",97095,-30075
"324",97105,-30075
"325",97115,-30075
"326",97125,-30075
"327",97135,-30075
"328",97145,-30075
"329",97155,-30075
"330",97165,-30075
"331",97175,-30075
"332",97185,-30075
"333",97195,-30075
"334",97205,-30075
"335",97215,-30075
"336",97225,-30075
"337",97235,-30075
"338",97245,-30075
"339",97255,-30075
"340",97265,-30075
"341",97275,-30075
"342",97285,-30075
"343",97295,-30075
"344",97305,-30075
"345",97315,-30075
"346",97325,-30075
"347",97335,-30075
"348",97345,-30075
"349",97355,-30075
"350",97365,-30075
"351",97375,-30075
"352",97385,-30075
"353",97395,-30075
"354",97405,-30075
"355",97415,-30075
"356",97425,-30075
"357",97435,-30075
"358",97445,-30075
"359",97455,-30075
"360",97465,-30075
"361",97475,-30075
"362",97485,-30075
"363",97495,-30075
"364",97505,-30075
"365",97515,-30075
"366",97525,-30075
"367",97535,-30075
"368",97545,-30075
"369",97555,-30075
"370",97565,-30075
"371",97575,-30075
"372",97585,-30075
"373",97595,-30075
"374",97605,-30075
"375",97615,-30075
"376",97625,-30075
"377",97635,-30075
"378",97645,-30075
"379",97655,-30075
"380",97665,-30075
"381",97675,-30075
"382",97685,-30075
"383",97695,-30075
"384",97705,-30075
"385",97715,-30075
"386",97725,-30075
"387",97735,-30075
"388",97745,-30075
"389",97755,-30075
"390",97765,-30075
"391",97775,-30075
"392",97785,-30075
"393",97795,-30075
"394",97805,-30075
"395",97815,-30075
"396",97825,-30075
"397",97835,-30075
"398",97845,-30075
"399",97855,-30075
"400",97865,-30075
"401",97875,-30075
"402",97885,-30075
"403",97895,-30075
"404",97905,-30075
"405",97915,-30075
"406",97925,-30075
"407",97935,-30075
"408",97945,-30075
"409",97955,-30075
"410",97965,-30075
"411",97975,-30075
"412",97985,-30075
"413",97995,-30075
"414",98005,-30075
"415",98015,-30075
"416",98025,-30075
"417",98035,-30075
"418",98045,-30075
"419",98055,-30075
"420",98065,-30075
"421",98075,-30075
"422",98085,-30075
"423",98095,-30075
"424",98105,-30075
"425",98115,-30075
"426",98125,-30075
"427",98135,-30075
"428",98145,-30075
"429",96015,-30065
"430",96025,-30065
"431",96035,-30065
"432",96045,-30065
"433",96055,-30065
"434",96065,-30065
"435",96075,-30065
"436",96085,-30065
"437",96095,-30065
"438",96105,-30065
"439",96115,-30065
"440",96125,-30065
"441",96135,-30065
"442",96145,-30065
"443",96155,-30065
"444",96165,-30065
"445",96175,-30065
"446",96185,-30065
"447",96195,-30065
"448",96205,-30065
"449",96215,-30065
"450",96225,-30065
"451",96235,-30065
"452",96245,-30065
"453",96255,-30065
"454",96265,-30065
"455",96275,-30065
"456",96285,-30065
"457",96295,-30065
"458",96305,-30065
"459",96315,-30065
"460",96325,-30065
"461",96335,-30065
"462",96345,-30065
"463",96355,-30065
"464",96365,-30065
"465",96375,-30065
"466",96385,-30065
"467",96395,-30065
"468",96405,-30065
"469",96415,-30065
"470",96425,-30065
"471",96435,-30065
"472",96445,-30065
"473",96455,-30065
"474",96465,-30065
"475",96475,-30065
"476",96485,-30065
"477",96495,-30065
"478",96505,-30065
"479",96515,-30065
"480",96525,-30065
"481",96535,-30065
"482",96545,-30065
"483",96555,-30065
"484",96565,-30065
"485",96575,-30065
"486",96585,-30065
"487",96595,-30065
"488",96605,-30065
"489",96615,-30065
"490",96625,-30065
"491",96635,-30065
"492",96645,-30065
